poster_nick,polemica_nick,user_id,mafia_games,games_with_first_vote,games_no_first_vote,voted_civilian,voted_sheriff,voted_own_mafia,voted_own_don,voted_own_black,voted_self,voted_unknown,pct_civilian,pct_sheriff,pct_own_mafia,pct_own_don,pct_own_black,pct_red_town,first_vote_on_protocol_day1,first_vote_on_protocol_day2plus,protocol_day1_ballot_games,protocol_day1_voted_civilian,protocol_day1_voted_sheriff,protocol_day1_voted_own_mafia,protocol_day1_voted_own_don,protocol_day1_voted_own_black,protocol_day1_voted_self,protocol_day1_no_ballot,note
Axeon,Axeon,81057,53,50,3,27,11,3,9,12,0,0,54.0,22.0,6.0,18.0,24.0,76.0,0,50,0,0,0,0,0,0,0,53,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Elric,Elric,99882,32,27,5,18,3,2,2,4,2,0,66.7,11.1,7.4,7.4,14.8,77.8,0,27,0,0,0,0,0,0,0,32,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Hartmann,HARTMANN_SPB,56102,7,7,0,4,2,1,0,1,0,0,57.1,28.6,14.3,0.0,14.3,85.7,0,7,0,0,0,0,0,0,0,7,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Macarena,Macarena,70253,22,22,0,13,4,2,1,3,2,0,59.1,18.2,9.1,4.5,13.6,77.3,0,22,0,0,0,0,0,0,0,22,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Story,Story,59762,16,16,0,11,3,0,2,2,0,0,68.8,18.8,0.0,12.5,12.5,87.5,0,16,0,0,0,0,0,0,0,16,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
avomarika,avomarika,60805,39,39,0,22,7,7,2,9,1,0,56.4,17.9,17.9,5.1,23.1,74.4,0,39,0,0,0,0,0,0,0,39,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Алёна,Alena78,23794,30,30,0,21,4,2,1,3,2,0,70.0,13.3,6.7,3.3,10.0,83.3,0,30,0,0,0,0,0,0,0,30,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Аномалия,Anомалия,98224,32,32,0,24,4,3,1,4,0,0,75.0,12.5,9.4,3.1,12.5,87.5,0,32,0,0,0,0,0,0,0,32,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Белладонна,Белладонна,84683,31,31,0,20,2,5,2,7,2,0,64.5,6.5,16.1,6.5,22.6,71.0,0,31,0,0,0,0,0,0,0,31,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Вега,Вега,74136,28,25,3,15,3,2,4,6,1,0,60.0,12.0,8.0,16.0,24.0,72.0,0,25,0,0,0,0,0,0,0,28,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Д. Колбасенко,Данил_Колбасенко,88950,41,41,0,25,2,6,7,13,1,0,61.0,4.9,14.6,17.1,31.7,65.9,0,41,0,0,0,0,0,0,0,41,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Кармин,Кармин,70516,42,42,0,28,7,2,5,7,0,0,66.7,16.7,4.8,11.9,16.7,83.3,0,42,0,0,0,0,0,0,0,42,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Ластхиро,Ластхиро,343,41,41,0,31,2,4,3,7,1,0,75.6,4.9,9.8,7.3,17.1,80.5,0,41,0,0,0,0,0,0,0,41,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Лиса,Лисa,86129,34,34,0,19,5,6,3,9,1,0,55.9,14.7,17.6,8.8,26.5,70.6,0,34,0,0,0,0,0,0,0,34,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Марипоса,Марипоса,128592,35,35,0,17,6,6,5,11,1,0,48.6,17.1,17.1,14.3,31.4,65.7,0,35,0,0,0,0,0,0,0,35,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Саня запчасти,саня запчасти,41582,11,11,0,9,0,0,2,2,0,0,81.8,0.0,0.0,18.2,18.2,81.8,0,11,0,0,0,0,0,0,0,11,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Секрет,Секрет-,88154,34,33,1,20,5,1,6,7,1,0,60.6,15.2,3.0,18.2,21.2,75.8,0,33,0,0,0,0,0,0,0,34,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
ФДМ,ФДМ,1306,14,14,0,7,5,1,0,1,1,0,50.0,35.7,7.1,0.0,7.1,85.7,0,14,0,0,0,0,0,0,0,14,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Фартушная,Фартушная,1302,12,12,0,10,0,0,2,2,0,0,83.3,0.0,0.0,16.7,16.7,83.3,0,12,0,0,0,0,0,0,0,12,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Фырчик,Фырчик,78547,32,24,8,14,5,4,0,4,1,0,58.3,20.8,16.7,0.0,16.7,79.2,0,24,0,0,0,0,0,0,0,32,"Период 2026-01-01 — 2026-08-27. Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
